Source,CH1
Second,Volt
-0.00581840000,5.16000,
-0.00581760000,5.16000,
-0.00581680000,5.16000,
-0.00581600000,5.16000,
-0.00581520000,5.16000,
-0.00581440000,5.16000,
-0.00581360000,5.16000,
-0.00581280000,5.16000,
-0.00581200000,5.12000,
-0.00581120000,5.16000,
-0.00581040000,5.16000,
-0.00580960000,5.12000,
-0.00580880000,5.16000,
-0.00580800000,5.16000,
-0.00580720000,5.20000,
-0.00580640000,5.16000,
-0.00580560000,5.16000,
-0.00580480000,5.16000,
-0.00580400000,5.20000,
-0.00580320000,5.16000,
-0.00580240000,5.12000,
-0.00580160000,5.20000,
-0.00580080000,5.16000,
-0.00580000000,5.16000,
-0.00579920000,5.16000,
-0.00579840000,5.16000,
-0.00579760000,5.16000,
-0.00579680000,5.12000,
-0.00579600000,5.16000,
-0.00579520000,5.16000,
-0.00579440000,5.16000,
-0.00579360000,5.12000,
-0.00579280000,5.16000,
-0.00579200000,5.16000,
-0.00579120000,5.20000,
-0.00579040000,5.12000,
-0.00578960000,5.16000,
-0.00578880000,5.16000,
-0.00578800000,5.16000,
-0.00578720000,5.12000,
-0.00578640000,5.16000,
-0.00578560000,5.12000,
-0.00578480000,5.20000,
-0.00578400000,5.20000,
-0.00578320000,5.12000,
-0.00578240000,5.20000,
-0.00578160000,5.16000,
-0.00578080000,5.16000,
-0.00578000000,5.16000,
-0.00577920000,5.16000,
-0.00577840000,5.16000,
-0.00577760000,5.16000,
-0.00577680000,5.20000,
-0.00577600000,5.20000,
-0.00577520000,5.16000,
-0.00577440000,5.16000,
-0.00577360000,5.20000,
-0.00577280000,5.12000,
-0.00577200000,5.20000,
-0.00577120000,5.16000,
-0.00577040000,5.16000,
-0.00576960000,5.12000,
-0.00576880000,5.16000,
-0.00576800000,5.20000,
-0.00576720000,5.16000,
-0.00576640000,5.16000,
-0.00576560000,5.20000,
-0.00576480000,5.16000,
-0.00576400000,5.16000,
-0.00576320000,5.32000,
-0.00576240000,5.12000,
-0.00576160000,5.16000,
-0.00576080000,5.12000,
-0.00576000000,5.16000,
-0.00575920000,5.16000,
-0.00575840000,5.12000,
-0.00575760000,5.16000,
-0.00575680000,5.16000,
-0.00575600000,5.16000,
-0.00575520000,5.16000,
-0.00575440000,5.16000,
-0.00575360000,5.16000,
-0.00575280000,5.12000,
-0.00575200000,5.20000,
-0.00575120000,5.16000,
-0.00575040000,5.16000,
-0.00574960000,5.12000,
-0.00574880000,5.12000,
-0.00574800000,5.12000,
-0.00574720000,5.16000,
-0.00574640000,5.12000,
-0.00574560000,5.16000,
-0.00574480000,5.16000,
-0.00574400000,5.16000,
-0.00574320000,5.16000,
-0.00574240000,5.16000,
-0.00574160000,5.16000,
-0.00574080000,5.16000,
-0.00574000000,5.16000,
-0.00573920000,5.16000,
-0.00573840000,5.16000,
-0.00573760000,5.16000,
-0.00573680000,5.16000,
-0.00573600000,5.16000,
-0.00573520000,5.12000,
-0.00573440000,5.16000,
-0.00573360000,5.16000,
-0.00573280000,5.32000,
-0.00573200000,5.12000,
-0.00573120000,5.16000,
-0.00573040000,5.16000,
-0.00572960000,5.16000,
-0.00572880000,5.16000,
-0.00572800000,5.16000,
-0.00572720000,5.16000,
-0.00572640000,5.16000,
